timestamp,epoch,iteration,train_loss,val_loss,checkpoint
2025-05-04 21:28:11,1,1,22.009601593017578,25.17139282464981,
2025-05-04 21:40:14,1,1,3.3242721557617188,6.185368621349335,
2025-05-04 21:41:08,1,1,57.65876388549805,48.15822582244873,
2025-05-04 21:51:07,1,1001,27.34776666471651,16.2010484790802,
2025-05-04 22:01:10,1,2001,20.2780106054551,8.945666618347168,
2025-05-04 22:11:17,1,3001,15.992540752915533,5.076528975963592,
2025-05-04 22:21:23,1,4001,13.130139248486133,3.297398016452789,
2025-05-04 22:31:33,1,5001,11.129766913896274,2.4157067438960076,
2025-05-04 22:41:40,1,6001,9.67360947838457,1.707507064640522,
2025-05-04 22:51:41,1,7001,8.505630104546206,1.0010320214927197,
2025-05-04 23:01:45,1,8001,7.5594461852489765,0.4309274576604366,
2025-05-04 23:11:50,1,9001,6.7717607477927135,-0.0657044917345047,
2025-05-04 23:21:51,1,10001,6.098550782424875,-0.4040748319029808,
2025-05-04 23:31:50,1,11001,5.518657939311304,-0.6524495343863964,
2025-05-04 23:42:00,1,12001,5.01921588718474,-0.8273775553703309,
2025-05-04 23:52:05,1,13001,4.5747480290986955,-0.9774873146414756,
2025-05-05 00:02:27,1,14001,4.175853440507583,-1.119553283303976,
2025-05-05 00:12:43,1,15001,3.8296167326430646,-1.195216242969036,
2025-05-05 00:22:44,1,16001,3.514303473206853,-1.2507385954260826,
2025-05-05 00:32:47,1,17001,3.233746499068144,-1.338564539551735,
2025-05-05 00:42:48,1,18001,2.966774469453519,-1.4109459733963012,
2025-05-05 00:52:47,1,19001,2.731999954179813,-1.4700999465584754,
2025-05-05 01:02:12,1,20001,2.515783025581079,-1.5062995013594627,
2025-05-05 01:11:29,1,21001,2.313029872026749,-1.5342542412877083,
2025-05-05 01:20:44,1,22001,2.121987413354738,-1.6020610868930816,
2025-05-05 01:29:56,1,23001,1.9468045635591444,-1.6364343890547752,
2025-05-05 01:39:02,1,24001,1.7784354191874594,-1.6428114774823188,
2025-05-05 01:48:13,1,25001,1.625300100634746,-1.6830356323719025,
2025-05-05 01:57:27,1,26001,1.4743271648684955,-1.7285456588864327,
2025-05-05 02:06:41,1,27001,1.3368382494897892,-1.7465492171049117,
2025-05-05 02:15:53,1,28001,1.2082409461987669,-1.7903365197777747,
2025-05-05 02:25:00,1,29001,1.090799715301474,-1.8111812108755112,
2025-05-05 02:34:07,1,30001,0.9785038741628753,-1.8551440745592118,
2025-05-05 02:43:15,1,31001,0.8714345424358195,-1.8565854373574258,
2025-05-05 02:52:22,1,32001,0.765487842165286,-1.888981390595436,
2025-05-05 03:01:29,1,33001,0.6674322375415814,-1.895188129544258,
2025-05-05 03:10:33,1,34001,0.5713712869859611,-1.9483020943403244,
2025-05-05 03:19:49,1,35001,0.47609186261155373,-1.9606987127661706,
2025-05-05 03:28:57,1,36001,0.39013650740990735,-1.9538721725344659,
