timestamp,epoch,iteration,train_loss,val_loss,checkpoint
2025-05-04 15:02:00,1,1,40.86437225341797,37.5043371963501,
2025-05-04 15:06:51,1,1001,11.01459463623973,3.079085868000984,
2025-05-04 15:11:43,1,2001,6.027389492361114,0.18035323195159436,
2025-05-04 15:16:28,1,3001,3.6871316089694877,-0.8876716504245996,
2025-05-04 15:21:10,1,4001,2.2495063086545666,-1.5056592305377126,
2025-05-04 15:25:54,1,5001,1.2412475457273824,-1.8510969758033753,
2025-05-04 15:30:40,1,6001,0.5034396340836189,-1.9388930356502534,
2025-05-04 15:35:21,1,7001,-0.0884594225141512,-2.151377141773701,
2025-05-04 15:40:03,1,8001,-0.5631601220452402,-2.2228453493118288,
2025-05-04 15:44:51,1,9001,-0.9552789215466576,-2.315832594037056,
2025-05-04 15:50:13,1,10001,-1.293140391631164,-2.3280685558915137,
2025-05-04 15:55:11,1,11001,-1.583352489940942,-2.479913886487484,
2025-05-04 15:59:51,1,12001,-1.8378462986774609,-2.4707311820983886,
2025-05-04 16:04:35,1,13001,-2.0716062169254132,-2.5504560631513598,
2025-05-04 16:09:55,1,14001,-2.2810616355457736,-2.6664798259735107,
2025-05-04 16:14:34,1,15001,-2.4726886477006746,-2.643579623103142,
2025-05-04 16:19:09,1,16001,-2.645070634052203,-2.6127780812978743,
2025-05-04 16:23:43,1,17001,-2.802859385732493,-2.6801716895401477,
2025-05-04 16:28:44,1,18001,-2.9526420696182463,-2.5588043935596945,
2025-05-04 16:33:35,1,19001,-3.087996394801617,-2.737520015016198,
2025-05-04 16:37:58,1,20001,-3.211980151084341,-2.5346860877424477,
